,MetaT k12,MetaT k13,DeepMicrobes,Centrifuge,CLARK,CLARK-S,Kraken,Kraken 2,BLAST-MEGAN,Diamond-MEGAN,Kaiju
Mock01,0.00216,0.00176,0.00155,0.00241,0.00489,0.00555,0.00658,0.00492,0.00970,0.00538,0.00396
Mock02,0.00147,0.00139,0.00204,0.00164,0.00471,0.00501,0.00728,0.00533,0.00577,0.00365,0.00313
Mock03,0.00226,0.00151,0.00333,0.00290,0.00434,0.00405,0.00751,0.00510,0.00956,0.00396,0.00143
Mock04,0.00344,0.00248,0.00384,0.00428,0.00872,0.00920,0.01114,0.00890,0.02003,0.00739,0.00416
Mock05,0.00251,0.00250,0.00239,0.00230,0.00518,0.00533,0.00685,0.00546,0.00754,0.00477,0.00374
Mock06,0.00271,0.00145,0.00235,0.00175,0.00393,0.00432,0.00655,0.00434,0.00630,0.00464,0.00227
Mock07,0.00191,0.00197,0.00238,0.00187,0.00364,0.00358,0.00820,0.00396,0.00757,0.00317,0.00165
Mock08,0.00176,0.00173,0.00236,0.00177,0.00320,0.00297,0.00455,0.00331,0.00516,0.00318,0.00233
Mock09,0.00220,0.00221,0.00162,0.00219,0.00505,0.00476,0.00692,0.00498,0.00664,0.00508,0.00333
Mock10,0.00350,0.00370,0.00240,0.00169,0.00407,0.00461,0.00599,0.00440,0.00686,0.00356,0.00341
